Asin,joy,fear,anger,sadness,disgust,shame,guilt
0143107291,28.57,0.0,16.07,0.0,8.93,39.29,7.14
0060957247,0.0,66.67,0.0,0.0,0.0,33.33,0.0
0062066315,18.52,0.0,19.75,1.23,18.52,35.8,6.17
0143123300,9.22,3.35,32.12,4.19,14.25,27.93,8.94
0142180858,52.94,0.0,0.0,5.88,5.88,23.53,11.76
0142180467,11.27,4.23,26.76,2.82,23.94,23.94,7.04
0143125478,25.87,3.48,23.88,2.99,10.45,27.36,5.97
0062219251,7.04,0.0,33.8,1.41,14.08,23.94,19.72
0062278010,25.0,0.0,6.25,0.0,15.63,43.75,9.38
0062341626,6.76,2.7,8.11,2.7,10.81,60.81,8.11
0062251678,26.92,0.0,19.23,3.85,34.62,11.54,3.85
0147508770,24.53,0.0,3.77,3.77,16.98,43.4,7.55
0143123238,10.67,2.28,19.69,4.35,17.93,32.02,13.06
0062286706,29.49,3.85,15.38,3.85,33.33,11.54,2.56
0062280643,16.67,0.0,33.33,0.0,16.67,16.67,16.67
0062303112,41.67,8.33,8.33,0.0,25.0,16.67,0.0
0062219278,6.9,0.0,20.69,0.0,27.59,37.93,6.9
0062273574,8.0,4.0,24.0,12.0,16.0,24.0,12.0
0062076108,11.41,4.92,22.15,6.26,11.63,29.08,14.54
0062265423,16.36,3.18,28.18,2.27,11.36,31.82,6.82
B007F39X26,27.27,0.0,9.09,0.0,18.18,45.45,0.0
B002CMLEVI,25.0,0.0,25.0,0.0,12.5,12.5,25.0
B001TJ1O4W,26.32,0.0,36.84,5.26,10.53,15.79,5.26
B00264H2VI,30.43,0.0,13.04,0.0,17.39,30.43,8.7
B0028TXRJW,0.0,0.0,60.0,0.0,0.0,0.0,40.0
B002I1XQ0K,25.81,9.68,9.68,0.0,6.45,32.26,16.13
B002NOGFHS,0.0,0.0,50.0,0.0,30.0,20.0,0.0
B0020HR7KW,12.5,0.0,50.0,0.0,0.0,25.0,12.5
B0024FARCU,20.0,0.0,20.0,0.0,40.0,20.0,0.0
B0029TG2Z2,16.67,0.0,5.56,0.0,27.78,38.89,11.11
B001VLXML6,9.68,1.61,24.19,3.23,12.9,33.87,14.52
B001892DGG,9.09,3.03,30.3,3.03,15.15,27.27,12.12
B001CN45ZA,11.11,0.0,27.78,0.0,16.67,33.33,11.11
B002A4MICW,10.0,0.0,25.0,0.0,10.0,45.0,10.0
B0026OQYYO,30.0,0.0,20.0,5.0,10.0,35.0,0.0
B002R2OFBO,13.64,4.55,31.82,0.0,9.09,27.27,13.64
B002VFPS9A,10.53,0.0,42.11,0.0,10.53,21.05,15.79
B001VLXME8,33.33,5.13,10.26,2.56,7.69,28.21,12.82
B002A4MIDQ,14.29,0.0,42.86,0.0,14.29,28.57,0.0
B0053WROZY,33.33,0.0,16.67,0.0,16.67,0.0,33.33
B0028K2T54,13.33,0.0,26.67,0.0,6.67,40.0,13.33
B002B9MGIM,4.76,9.52,42.86,0.0,9.52,14.29,19.05
B001CN47NA,23.08,0.0,46.15,0.0,15.38,15.38,0.0
B001NIZLZM,16.67,0.0,50.0,0.0,0.0,16.67,16.67
B001892DGQ,0.0,0.0,0.0,0.0,0.0,75.0,25.0
B002HWSQTQ,14.29,0.0,14.29,0.0,28.57,28.57,14.29
B0021L9YDK,6.67,20.0,40.0,0.0,20.0,13.33,0.0
B001UV3EUG,0.0,0.0,25.0,8.33,33.33,25.0,8.33
B0026RHM24,20.0,0.0,20.0,0.0,20.0,20.0,20.0
B002XULHAW,7.14,7.14,35.71,7.14,0.0,21.43,21.43
B003TSETIE,0.0,0.0,20.0,20.0,0.0,40.0,20.0
B004A8ZT9A,16.05,1.85,15.43,3.7,14.2,36.42,12.35
B00403MNZ8,18.42,2.63,13.16,2.63,13.16,44.74,5.26
B003XVYJ2S,9.41,6.47,9.41,4.71,18.82,38.82,12.35
B003YH9LP6,25.0,0.0,33.33,0.0,8.33,33.33,0.0
B004FPYZNE,23.08,0.0,30.77,0.0,7.69,23.08,15.38
B004E9U72E,25.0,6.25,25.0,0.0,18.75,25.0,0.0
B002WYJFU8,10.0,0.0,20.0,0.0,20.0,50.0,0.0
B003VS0E40,33.33,0.0,33.33,0.0,0.0,33.33,0.0
B00457VKIK,16.67,16.67,33.33,0.0,0.0,33.33,0.0
B003KRP2VW,22.22,0.0,0.0,11.11,33.33,22.22,11.11
B004E3XVIM,15.45,1.63,22.76,1.63,17.89,30.89,9.76
B004AM59T6,21.51,5.38,16.13,2.15,11.83,23.66,19.35
